user_id,signup_date,home_country,kyc_status,kyc_method
154,2024-09-12,US,Verified,Bank Verification
155,2025-01-08,CA,Verified,Document Upload
156,2024-02-20,UK,Verified,Document Upload
157,2023-12-29,UK,Verified,Utility Bill
158,2025-02-17,UK,Verified,Document Upload
159,2025-02-01,US,Pending,Document Upload
160,2024-12-23,UK,Verified,Bank Verification
161,2024-09-22,US,Verified,Document Upload
162,2025-01-24,UK,Verified,Document Upload
163,2024-11-02,US,Pending,Bank Verification
164,2023-12-11,CA,Verified,Document Upload
165,2024-11-23,CA,Verified,Bank Verification
166,2024-01-01,UK,Verified,Utility Bill
167,2024-09-07,UK,Verified,Document Upload
168,2024-12-08,US,Verified,Bank Verification
169,2024-01-04,US,Verified,Document Upload
170,2024-10-15,CA,Verified,Document Upload
171,2024-04-05,UK,Verified,Bank Verification
172,2024-12-23,US,Verified,Utility Bill
173,2023-11-29,CA,Verified,Bank Verification
174,2024-04-21,UK,Verified,Bank Verification
175,2024-02-06,UK,Verified,Bank Verification
176,2025-05-29,US,Verified,Document Upload
177,2025-04-20,CA,Verified,Document Upload
178,2025-05-13,UK,Verified,Bank Verification
179,2024-08-22,US,Verified,Utility Bill
180,2024-11-02,UK,Verified,Document Upload
181,2023-12-10,UK,Verified,Bank Verification
182,2025-02-01,CA,Verified,Bank Verification
183,2025-03-16,UK,Verified,Document Upload
184,2024-02-25,UK,Failed,Bank Verification
185,2024-12-30,UK,Verified,Document Upload
186,2024-04-24,US,Verified,Document Upload
187,2025-01-06,UK,Verified,Document Upload
188,2024-08-13,UK,Verified,Bank Verification
189,2025-05-05,CA,Verified,Document Upload
190,2024-06-08,US,Verified,Document Upload
191,2024-01-15,UK,Failed,Utility Bill
192,2024-05-22,CA,Verified,Bank Verification
193,2024-02-06,UK,Verified,Utility Bill
194,2024-04-01,UK,Verified,Utility Bill
195,2024-08-01,UK,Verified,Document Upload
196,2024-01-09,UK,Verified,Document Upload
197,2024-09-20,UK,Pending,Utility Bill
198,2025-03-27,CA,Verified,Document Upload
199,2024-08-08,UK,Verified,Utility Bill
200,2024-06-29,US,Verified,Utility Bill
201,2025-03-12,CA,Verified,Bank Verification
202,2025-03-31,US,Verified,Document Upload
203,2024-06-07,UK,Failed,Bank Verification
204,2024-10-11,US,Pending,Document Upload
205,2024-09-19,US,Verified,Document Upload
206,2024-03-29,UK,Verified,Document Upload
207,2024-05-26,UK,Verified,Bank Verification
208,2024-01-28,US,Verified,Bank Verification
209,2025-03-17,CA,Verified,Document Upload
210,2024-04-14,US,Verified,Utility Bill
211,2024-08-16,UK,Verified,Document Upload
212,2025-05-31,US,Verified,Document Upload
213,2025-05-11,UK,Verified,Document Upload
214,2024-11-28,US,Pending,Document Upload
215,2024-06-21,UK,Verified,Bank Verification
216,2025-03-20,US,Verified,Bank Verification
217,2024-08-14,CA,Verified,Bank Verification
218,2023-11-29,US,Pending,Bank Verification
219,2025-03-31,UK,Verified,Bank Verification
220,2025-03-30,US,Pending,Document Upload
221,2023-12-18,CA,Verified,Bank Verification
222,2025-02-01,US,Verified,Utility Bill
223,2024-02-08,US,Verified,Utility Bill
224,2024-11-29,CA,Verified,Document Upload
225,2024-04-15,UK,Verified,Utility Bill
226,2025-05-17,UK,Verified,Document Upload
227,2024-06-25,UK,Verified,Bank Verification
228,2024-02-10,CA,Failed,Bank Verification
229,2024-12-10,UK,Verified,Document Upload
230,2024-06-23,UK,Verified,Utility Bill
231,2025-02-18,CA,Verified,Utility Bill
232,2025-03-21,CA,Verified,Document Upload
233,2025-06-20,UK,Pending,Document Upload
234,2024-09-09,CA,Verified,Document Upload
235,2024-08-27,UK,Verified,Document Upload
236,2025-05-07,UK,Pending,Utility Bill
237,2025-02-11,CA,Verified,Document Upload
238,2024-07-07,CA,Verified,Document Upload
239,2024-11-25,CA,Failed,Bank Verification
240,2025-02-08,UK,Verified,Utility Bill
241,2025-06-17,UK,Verified,Utility Bill
242,2025-05-29,UK,Failed,Utility Bill
243,2024-06-22,CA,Verified,Document Upload
244,2025-04-16,US,Pending,Document Upload
245,2024-02-25,UK,Pending,Document Upload
246,2024-08-08,UK,Verified,Bank Verification
247,2025-01-28,US,Pending,Document Upload
248,2024-06-22,US,Pending,Bank Verification
249,2025-03-21,US,Verified,Document Upload
250,2024-12-17,UK,Verified,Bank Verification
251,2024-09-10,UK,Verified,Document Upload
252,2024-06-19,UK,Verified,Utility Bill
253,2025-04-03,US,Pending,Document Upload
254,2024-12-02,UK,Verified,Bank Verification
255,2025-04-29,UK,Verified,Utility Bill
256,2025-04-07,UK,Verified,Bank Verification
257,2025-02-13,US,Verified,Document Upload
258,2024-12-23,UK,Verified,Utility Bill
259,2024-01-20,CA,Verified,Bank Verification
260,2024-11-07,US,Verified,Bank Verification
261,2025-04-19,UK,Verified,Bank Verification
262,2024-01-17,CA,Verified,Document Upload
263,2024-07-31,US,Pending,Bank Verification
264,2025-04-16,US,Verified,Document Upload
265,2025-05-04,US,Failed,Utility Bill
266,2025-05-02,CA,Pending,Document Upload
267,2024-01-18,UK,Verified,Bank Verification
268,2024-08-04,UK,Verified,Bank Verification
269,2024-05-29,US,Verified,Document Upload
270,2023-12-19,UK,Verified,Bank Verification
271,2024-11-04,UK,Failed,Utility Bill
272,2024-01-20,US,Verified,Document Upload
273,2024-11-03,UK,Failed,Bank Verification
274,2024-05-17,US,Verified,Bank Verification
275,2024-03-06,US,Verified,Utility Bill
276,2025-05-13,CA,Verified,Document Upload
277,2024-04-28,US,Verified,Utility Bill
278,2024-03-18,UK,Verified,Bank Verification
279,2023-12-16,US,Verified,Document Upload
280,2024-05-27,CA,Verified,Bank Verification
281,2024-09-15,UK,Verified,Bank Verification
282,2025-03-30,UK,Verified,Document Upload
283,2024-04-09,UK,Verified,Document Upload
284,2024-09-28,UK,Verified,Document Upload
285,2024-03-18,UK,Verified,Bank Verification
286,2025-05-23,UK,Pending,Document Upload
287,2024-12-05,CA,Verified,Bank Verification
288,2024-03-20,UK,Verified,Utility Bill
289,2024-07-08,UK,Verified,Bank Verification
290,2024-05-07,US,Failed,Utility Bill
291,2024-07-19,CA,Verified,Bank Verification
292,2024-03-19,US,Verified,Bank Verification
293,2024-03-04,UK,Failed,Utility Bill
294,2024-04-13,UK,Verified,Bank Verification
295,2024-06-08,CA,Verified,Document Upload
296,2025-01-19,UK,Verified,Document Upload
297,2025-05-08,US,Failed,Utility Bill
298,2024-03-27,UK,Verified,Utility Bill
299,2024-12-02,US,Pending,Document Upload
300,2025-01-29,UK,Verified,Document Upload
301,2025-06-19,US,Verified,Document Upload
302,2025-04-03,UK,Verified,Utility Bill
303,2025-05-31,CA,Pending,Utility Bill
304,2024-11-10,CA,Verified,Utility Bill
305,2025-01-03,CA,Verified,Bank Verification
306,2024-09-10,US,Verified,Utility Bill
307,2024-07-29,US,Verified,Document Upload
308,2025-01-09,UK,Verified,Document Upload
309,2024-08-20,CA,Verified,Bank Verification
310,2024-07-10,UK,Verified,Document Upload
311,2024-06-02,US,Verified,Bank Verification
312,2024-07-12,CA,Verified,Document Upload
313,2025-06-01,CA,Verified,Document Upload
314,2025-02-04,UK,Verified,Bank Verification
315,2024-03-25,CA,Verified,Bank Verification
316,2024-07-01,CA,Verified,Bank Verification
317,2025-01-03,US,Verified,Bank Verification
318,2024-11-29,UK,Verified,Document Upload
319,2024-01-08,US,Verified,Bank Verification
320,2024-04-28,US,Verified,Document Upload
321,2024-11-19,CA,Verified,Document Upload
322,2025-01-06,UK,Verified,Document Upload
323,2025-04-08,CA,Verified,Bank Verification
324,2024-03-22,UK,Failed,Utility Bill
325,2024-06-27,UK,Verified,Bank Verification
326,2024-10-27,UK,Verified,Utility Bill
327,2024-05-22,UK,Failed,Utility Bill
328,2024-08-09,CA,Verified,Utility Bill
329,2024-08-21,US,Verified,Utility Bill
330,2024-06-02,UK,Verified,Document Upload
331,2024-04-10,CA,Verified,Document Upload
332,2024-08-29,US,Verified,Document Upload
333,2024-10-29,UK,Failed,Utility Bill
334,2025-01-25,CA,Verified,Bank Verification
335,2024-12-30,CA,Pending,Utility Bill
336,2023-12-10,CA,Verified,Bank Verification
337,2025-03-07,CA,Failed,Document Upload
338,2025-04-27,UK,Verified,Document Upload
339,2024-07-04,US,Verified,Document Upload
340,2024-12-17,US,Verified,Document Upload
341,2025-04-27,US,Verified,Bank Verification
342,2024-08-12,US,Verified,Document Upload
343,2024-04-19,UK,Verified,Document Upload
344,2025-06-04,CA,Failed,Document Upload
345,2024-09-16,UK,Verified,Document Upload
346,2025-03-24,UK,Verified,Bank Verification
347,2024-07-28,UK,Pending,Bank Verification
348,2024-03-22,CA,Verified,Utility Bill
349,2024-03-20,UK,Verified,Document Upload
350,2024-03-31,CA,Verified,Document Upload
351,2025-01-04,US,Pending,Document Upload
352,2024-06-22,CA,Verified,Document Upload
353,2024-06-15,CA,Verified,Document Upload
354,2024-01-23,US,Pending,Bank Verification
355,2024-05-20,CA,Pending,Document Upload
356,2024-04-16,CA,Pending,Document Upload
357,2025-04-25,US,Failed,Document Upload
358,2025-01-01,UK,Verified,Document Upload
359,2024-11-22,US,Verified,Utility Bill
360,2024-06-18,UK,Pending,Bank Verification
361,2024-02-11,US,Verified,Bank Verification
362,2024-12-09,US,Failed,Bank Verification
363,2024-09-10,UK,Verified,Bank Verification
364,2024-04-19,UK,Verified,Utility Bill
365,2025-03-02,CA,Verified,Document Upload
366,2024-11-13,US,Verified,Bank Verification
367,2025-03-01,UK,Verified,Document Upload
368,2025-03-25,US,Verified,Document Upload
369,2024-05-22,US,Verified,Document Upload
370,2024-02-07,UK,Verified,Utility Bill
371,2025-03-27,CA,Verified,Bank Verification
372,2024-05-23,CA,Verified,Utility Bill
373,2024-05-21,UK,Pending,Utility Bill
374,2024-04-22,UK,Verified,Document Upload
375,2024-05-16,CA,Verified,Bank Verification
376,2024-08-06,CA,Verified,Document Upload
377,2025-04-16,UK,Verified,Bank Verification
378,2024-03-31,UK,Verified,Document Upload
379,2025-03-01,US,Verified,Document Upload
380,2024-10-08,UK,Pending,Document Upload
381,2023-12-25,UK,Verified,Bank Verification
382,2024-08-02,UK,Verified,Document Upload
383,2025-01-06,US,Verified,Document Upload
384,2025-05-16,UK,Verified,Bank Verification
385,2025-01-25,CA,Verified,Utility Bill
386,2024-08-08,UK,Failed,Utility Bill
387,2024-02-22,CA,Verified,Bank Verification
388,2024-03-13,US,Pending,Bank Verification
389,2025-02-20,CA,Pending,Document Upload
390,2024-05-14,UK,Verified,Document Upload
391,2024-06-15,US,Verified,Document Upload
392,2024-03-20,UK,Verified,Bank Verification
393,2024-09-10,UK,Verified,Document Upload
394,2024-09-11,CA,Verified,Utility Bill
395,2024-10-24,CA,Verified,Document Upload
396,2024-02-04,US,Failed,Utility Bill
397,2024-08-26,UK,Verified,Utility Bill
398,2025-04-20,US,Pending,Bank Verification
399,2024-09-06,US,Verified,Document Upload
400,2024-02-07,CA,Verified,Document Upload
401,2024-03-01,CA,Pending,Document Upload
402,2024-11-21,CA,Verified,Bank Verification
403,2024-02-04,US,Pending,Bank Verification
404,2025-04-30,US,Verified,Utility Bill
405,2024-04-20,UK,Verified,Utility Bill
406,2024-07-02,UK,Verified,Document Upload
407,2025-06-16,UK,Verified,Utility Bill
408,2024-10-04,UK,Verified,Bank Verification
409,2024-11-16,US,Verified,Document Upload
410,2024-10-19,US,Verified,Document Upload
411,2025-01-24,US,Verified,Document Upload
412,2024-02-21,US,Verified,Document Upload
413,2024-03-07,US,Verified,Document Upload
414,2025-04-03,UK,Verified,Utility Bill
415,2024-04-11,UK,Verified,Document Upload
416,2024-07-04,Unknown,Verified,Utility Bill
417,2025-03-07,CA,Verified,Document Upload
418,2024-10-28,UK,Verified,Bank Verification
419,2025-01-12,CA,Verified,Document Upload
420,2024-08-23,UK,Failed,Utility Bill
421,2025-04-07,US,Verified,Document Upload
422,2024-09-09,CA,Verified,Document Upload
423,2025-04-15,UK,Pending,Utility Bill
424,2025-04-05,CA,Verified,Bank Verification
425,2024-02-21,US,Verified,Document Upload
426,2024-09-02,UK,Verified,Document Upload
427,2025-01-07,CA,Verified,Document Upload
428,2024-02-15,UK,Failed,Utility Bill
429,2024-12-11,CA,Verified,Document Upload
430,2025-03-15,US,Verified,Utility Bill
431,2024-01-25,CA,Verified,Bank Verification
432,2025-06-14,US,Failed,Utility Bill
433,2023-12-31,CA,Verified,Bank Verification
434,2025-05-13,UK,Verified,Bank Verification
435,2024-03-18,US,Verified,Document Upload
436,2024-10-01,US,Pending,Document Upload
437,2025-04-10,UK,Verified,Bank Verification
438,2023-12-13,US,Verified,Utility Bill
439,2024-10-20,US,Verified,Document Upload
440,2025-05-26,UK,Verified,Bank Verification
441,2024-05-06,UK,Verified,Document Upload
442,2023-12-04,US,Pending,Bank Verification
443,2025-03-24,US,Verified,Bank Verification
444,2024-08-19,US,Verified,Document Upload
445,2024-01-08,US,Verified,Bank Verification
446,2025-04-13,UK,Pending,Utility Bill
447,2024-03-28,UK,Failed,Utility Bill
448,2024-10-25,UK,Failed,Utility Bill
449,2025-05-20,CA,Verified,Document Upload
450,2025-02-22,CA,Verified,Document Upload
451,2024-02-18,CA,Verified,Document Upload
452,2024-05-09,CA,Failed,Utility Bill
453,2024-02-01,US,Pending,Bank Verification
454,2024-08-16,US,Pending,Bank Verification
455,2025-04-06,UK,Verified,Document Upload
456,2025-01-07,UK,Verified,Document Upload
457,2025-01-01,UK,Pending,Bank Verification
458,2025-01-26,UK,Pending,Utility Bill
459,2025-05-05,UK,Verified,Bank Verification
460,2024-02-12,UK,Verified,Document Upload
461,2025-04-28,UK,Verified,Document Upload
462,2024-04-10,CA,Verified,Document Upload
463,2024-05-08,UK,Verified,Bank Verification
464,2024-10-15,US,Verified,Document Upload
465,2024-06-29,UK,Verified,Bank Verification
466,2024-11-01,UK,Verified,Document Upload
467,2024-08-24,CA,Verified,Bank Verification
468,2024-04-26,UK,Verified,Bank Verification
469,2024-10-01,US,Verified,Document Upload
470,2023-12-15,CA,Verified,Utility Bill
471,2024-02-28,UK,Verified,Utility Bill
472,2025-05-06,UK,Verified,Document Upload
473,2024-01-22,US,Pending,Bank Verification
474,2025-03-22,US,Verified,Utility Bill
475,2025-02-21,UK,Verified,Bank Verification
476,2024-11-26,UK,Failed,Bank Verification
477,2024-03-12,CA,Verified,Document Upload
478,2024-09-04,UK,Verified,Document Upload
479,2024-04-15,US,Verified,Document Upload
480,2025-05-11,UK,Pending,Utility Bill
481,2024-04-19,CA,Verified,Document Upload
482,2025-05-21,US,Failed,Utility Bill
483,2025-01-31,UK,Pending,Document Upload
484,2025-02-15,CA,Pending,Bank Verification
485,2024-03-02,UK,Verified,Bank Verification
486,2024-11-13,CA,Failed,Utility Bill
487,2024-04-07,UK,Verified,Bank Verification
488,2024-04-25,UK,Verified,Bank Verification
489,2024-05-21,UK,Verified,Bank Verification
490,2024-07-08,US,Verified,Document Upload
491,2024-02-13,UK,Verified,Utility Bill
492,2025-06-04,UK,Failed,Bank Verification
493,2024-06-06,US,Verified,Bank Verification
494,2025-05-26,US,Verified,Bank Verification
495,2024-06-28,US,Failed,Bank Verification
496,2024-10-06,UK,Verified,Document Upload
497,2023-12-14,US,Failed,Utility Bill
498,2024-02-08,UK,Verified,Bank Verification
499,2025-05-18,UK,Pending,Utility Bill
500,2024-01-16,US,Verified,Document Upload
501,2025-03-09,UK,Verified,Bank Verification
502,2024-11-24,CA,Pending,Document Upload
503,2024-08-20,CA,Verified,Bank Verification
504,2024-02-01,CA,Failed,Utility Bill
505,2024-12-06,UK,Verified,Document Upload
506,2024-01-08,US,Verified,Document Upload
507,2025-01-02,UK,Verified,Document Upload
508,2024-11-01,UK,Verified,Document Upload
509,2024-01-08,US,Verified,Document Upload
510,2024-04-21,UK,Failed,Utility Bill
511,2024-05-29,US,Verified,Document Upload
512,2024-11-24,US,Pending,Bank Verification
513,2025-06-16,US,Verified,Utility Bill
514,2025-03-25,UK,Verified,Bank Verification
515,2024-12-24,US,Verified,Document Upload
516,2024-07-28,US,Failed,Bank Verification
517,2024-02-10,US,Verified,Utility Bill
518,2025-05-02,UK,Verified,Bank Verification
519,2025-05-18,UK,Pending,Utility Bill
520,2024-06-07,CA,Failed,Utility Bill
521,2025-02-04,UK,Failed,Utility Bill
522,2024-03-16,UK,Verified,Bank Verification
523,2024-07-25,UK,Verified,Utility Bill
524,2024-01-16,UK,Failed,Bank Verification
525,2024-10-07,UK,Verified,Utility Bill
526,2024-10-08,UK,Verified,Document Upload
527,2024-04-02,CA,Verified,Bank Verification
528,2025-04-15,UK,Pending,Document Upload
529,2025-02-18,CA,Verified,Document Upload
530,2024-01-23,UK,Verified,Bank Verification
531,2025-04-01,UK,Verified,Bank Verification
532,2024-02-10,UK,Failed,Bank Verification
533,2024-05-18,UK,Verified,Document Upload
534,2023-12-17,UK,Verified,Document Upload
535,2025-01-17,UK,Verified,Document Upload
536,2024-07-17,US,Failed,Bank Verification
537,2025-05-28,CA,Verified,Document Upload
538,2024-06-02,CA,Failed,Utility Bill
539,2025-05-21,CA,Verified,Bank Verification
540,2024-11-20,CA,Verified,Document Upload
541,2024-12-17,UK,Pending,Bank Verification
542,2025-03-08,US,Verified,Document Upload
543,2024-08-16,US,Pending,Bank Verification
544,2025-01-05,UK,Verified,Document Upload
545,2025-05-01,US,Verified,Bank Verification
546,2024-05-06,US,Verified,Document Upload
547,2025-03-06,CA,Verified,Bank Verification
548,2024-12-17,UK,Failed,Bank Verification
549,2024-12-21,CA,Verified,Document Upload
550,2024-05-22,UK,Verified,Document Upload
551,2024-05-04,US,Verified,Document Upload
552,2024-09-07,UK,Pending,Utility Bill
553,2025-05-06,US,Verified,Utility Bill
554,2024-10-08,UK,Verified,Bank Verification
555,2024-05-14,UK,Verified,Document Upload
556,2023-12-17,UK,Verified,Bank Verification
557,2023-12-22,US,Verified,Document Upload
558,2025-03-18,US,Verified,Document Upload
559,2025-01-30,CA,Verified,Bank Verification
560,2024-09-16,UK,Pending,Utility Bill
561,2025-01-25,CA,Verified,Bank Verification
562,2025-03-21,UK,Verified,Bank Verification
563,2025-02-14,UK,Verified,Utility Bill
564,2024-01-03,UK,Verified,Document Upload
565,2024-05-14,CA,Verified,Utility Bill
566,2024-09-15,UK,Pending,Utility Bill
567,2024-08-07,UK,Failed,Utility Bill
568,2024-12-13,CA,Pending,Bank Verification
569,2024-08-12,US,Pending,Utility Bill
570,2025-03-17,UK,Pending,Bank Verification
571,2025-05-17,CA,Verified,Document Upload
572,2024-07-17,CA,Verified,Bank Verification
573,2024-08-06,US,Verified,Document Upload
574,2024-11-05,UK,Verified,Document Upload
575,2024-10-03,US,Verified,Bank Verification
576,2025-04-09,UK,Verified,Bank Verification
577,2024-02-23,UK,Verified,Document Upload
578,2025-06-02,CA,Failed,Utility Bill
579,2024-09-21,UK,Verified,Document Upload
580,2024-11-09,CA,Verified,Document Upload
581,2024-04-02,UK,Verified,Bank Verification
582,2024-07-23,UK,Failed,Utility Bill
583,2025-03-05,UK,Verified,Bank Verification
584,2024-08-29,CA,Failed,Utility Bill
585,2024-07-14,UK,Verified,Bank Verification
586,2024-01-24,CA,Verified,Bank Verification
587,2024-08-28,CA,Verified,Utility Bill
588,2024-01-18,US,Verified,Document Upload
589,2024-12-09,US,Verified,Bank Verification
590,2024-01-04,US,Pending,Bank Verification
591,2023-12-30,CA,Verified,Document Upload
592,2024-03-22,UK,Pending,Document Upload
593,2024-02-20,US,Verified,Utility Bill
594,2024-09-21,US,Verified,Document Upload
595,2024-01-03,US,Verified,Utility Bill
596,2024-08-26,US,Verified,Document Upload
597,2024-07-18,UK,Verified,Document Upload
598,2024-11-06,UK,Verified,Document Upload
599,2024-07-24,UK,Verified,Document Upload
600,2024-11-05,CA,Verified,Bank Verification
601,2024-07-31,US,Verified,Document Upload
602,2025-05-28,US,Failed,Bank Verification
603,2025-05-14,CA,Pending,Document Upload
604,2024-03-22,US,Verified,Bank Verification
605,2024-02-17,US,Verified,Bank Verification
606,2025-01-31,UK,Failed,Bank Verification
607,2025-06-09,CA,Failed,Utility Bill
608,2025-06-04,UK,Verified,Document Upload
609,2024-04-02,UK,Verified,Bank Verification
610,2024-09-28,UK,Pending,Utility Bill
611,2025-01-19,UK,Verified,Document Upload
612,2024-05-07,UK,Verified,Document Upload
613,2024-08-28,US,Verified,Bank Verification
614,2024-10-15,US,Verified,Document Upload
615,2025-04-29,CA,Failed,Document Upload
616,2024-11-25,US,Verified,Bank Verification
617,2024-04-07,UK,Verified,Bank Verification
618,2024-06-10,UK,Verified,Document Upload
619,2024-09-25,US,Verified,Bank Verification
620,2025-03-20,UK,Verified,Bank Verification
621,2024-06-22,UK,Verified,Bank Verification
622,2025-06-14,CA,Verified,Utility Bill
623,2023-12-08,UK,Pending,Document Upload
624,2024-07-18,UK,Verified,Document Upload
625,2024-05-09,US,Verified,Document Upload
